Luas Panen Pertanian (2016-2018),,,,,
No.,Komoditas,Tahun,,,Satuan
,,2016,2017,2018,
1,Padi Sawah,"675,00","469,00","490,00",Hektar
2,Padi Gogo,"4,00",0,0,Hektar
3,Jagung panen Tua,"224,00","161,00","299,00",Hektar
4,Jagung Panen Muda,"232,00","433,00","349,00",Hektar
5,Kacang Tanah,"60,00","39,00","1,90",Hektar
6,Ubi Kayu,"62,00","48,00","23,00",Hektar
7,Ubi Jalar,"94,00","57,00","4,90",Hektar
8,Bawang Merah,284,373,379,Hektar
9,Bawang Putih,41,31,22,Hektar
10,Bawang Daun,281,285,373,Hektar 
11,Kentang ,466,490,475,Hektar
12,Kubis,410,404,257,Hektar
13,Kembang Kol,398,391,361, Hektar
14,Petsai/Sawi,311,314,342,Hektar
15,Wortel,371,402,505,Hektar
16,Kacang Merah,30,24,25,Hektar
17,Kacang Panjang,174,207,188,Hektar
18,Cabe Besar,558,720,502,Hektar
19,Cabe Rawit,537,751,635,Hektar
20,Paprika,77,72,81,Hektar
21,Jamur,502.911,601.7,366.9,Hektar
22,Tomat,310,339,411,Hektar
23,Terung,290,319,418,Hektar
24,Buncis,253,239,221,Hektar
25,Ketimun,143,134,99,Hektar
